#1
learn.fit_one_cycle(5)

epoch     train_loss  valid_loss  _rmse     time
0         652.610046  590.232666  24.294704 00:00
1         637.812256  573.488220  23.947617 00:00
2         619.957092  555.477966  23.568579 00:00
3         608.414429  547.531433  23.399389 00:00
4         599.960327  541.656555  23.273516 00:00
--------------------------------------------------------
#2 Much better results with increased number of epochs and learning rate
learn.fit_one_cycle(10, lr_max=1e-2(0.01))
learn.summary()
epoch     train_loss  valid_loss  _rmse     time
0         623.742126  650.100708  25.497074 00:00
1         595.961365  593.482056  24.361486 00:00
2         559.284119  501.601349  22.396458 00:00
3         513.341675  355.998779  18.867928 00:00
4         449.761993  211.608093  14.546755 00:00
5         373.368469  92.066383   9.595122  00:00
6         302.501770  32.275787   5.681178  00:00
7         242.778748  16.343763   4.042742  00:00
8         195.918991  11.695019   3.419798  00:00
9         159.237747  10.996536   3.316103  00:00
-------------------------------------------------------
#3 Even better results with bigger number of epochs
learn.fit_one_cycle(20, lr_max=1e-2)
learn.summary()
epoch     train_loss  valid_loss  _rmse     time
0         621.383057  657.896057  25.649485 00:00
1         604.908875  617.161499  24.842735 00:00
2         581.942139  557.614258  23.613861 00:00
3         556.874390  490.977905  22.158022 00:00
4         520.208008  334.333679  18.284794 00:00
5         460.458679  190.446716  13.800244 00:00
6         377.223938  30.113342   5.487563  00:00
7         298.446991  6.879346    2.622851  00:00
8         238.533554  7.785973    2.790336  00:00
9         192.628082  2.728956    1.651955  00:00
10        156.798874  3.674139    1.916804  00:00
11        128.411224  3.298053    1.816054  00:00
12        105.644470  2.261315    1.503767  00:00
13        87.200638   2.637387    1.624003  00:00
14        72.506752   2.052046    1.432497  00:00
15        60.261898   2.231709    1.493890  00:00
16        50.540676   2.082286    1.443013  00:00
17        42.384827   1.897096    1.377351  00:00
18        35.816196   1.907323    1.381058  00:00
19        30.407433   1.871455    1.368011  00:00
--------------------------------------------------------
#4 It looks like we won't get improvement with a bigger number of epochs with this learning rate, after 27th epoch RMSE increased.
learn.fit_one_cycle(30, lr_max=1e-2)
learn.summary()

epoch     train_loss  valid_loss  _rmse     time
0         623.312744  656.190247  25.616209 00:00
1         608.185181  625.799316  25.015982 00:00
2         591.258545  576.273254  24.005692 00:00
3         576.787292  539.464417  23.226374 00:00
4         552.974731  492.971558  22.202963 00:00
5         522.629517  342.902374  18.517624 00:00
6         469.366028  185.805649  13.631055 00:00
